question,scratch,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? The word problem can be solved by subtracting 16 from 19.  ,<scratch>To subtract 16 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon? The word problem can be solved by subtracting 269 from 330.  ,<scratch>To subtract 269 from 330, we can think of it as subtracting the digits in each place value. Subtracting 9 and 0 gives 9. Subtracting 6 and 3 gives 3. After subtracting all digits, we get the difference, which is 61. </scratch>,61
Dave had 15 apps on his phone. He added 71 new apps. After deleting some he had 14 left. How many more apps did he delete than he added? The word problem can be solved by subtracting 14 from 15.  ,<scratch>To subtract 14 from 15, we can think of it as subtracting the digits in each place value. Subtracting 4 and 5 gives 1. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 01. </scratch>,5
Kelly has 106 nintendo games. How many will she have left if she gives away 64 games? The word problem can be solved by subtracting 64 from 106.  ,<scratch>To subtract 64 from 106, we can think of it as subtracting the digits in each place value. Subtracting 6 and 0 gives 6. Subtracting 4 and 6 gives 2. After subtracting all digits, we get the difference, which is 42. </scratch>,42
Last week Fred had 114 dollars and Jason had 22 dollars. They washed cars over the weekend and now Fred has 21 dollars and Jason has 78 dollars. How much money did Jason make over the weekend? The word problem can be solved by subtracting 22 from 78.  ,<scratch>To subtract 22 from 78, we can think of it as subtracting the digits in each place value. Subtracting 8 and 2 gives 6. Subtracting 7 and 2 gives 5. After subtracting all digits, we get the difference, which is 56. </scratch>,56
Jack received 6 emails in the morning and 2 emails in the afternoon. How many more emails did Jack receive in the morning than in the afternoon? The word problem can be solved by subtracting 2 from 6.  ,<scratch>To subtract 2 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 2 gives 4. After subtracting all digits, we get the difference, which is 04. </scratch>,4
Baker made 43 cakes and 114 pastries. If he sold 154 pastries and 78 cakes How many more pastries than cakes did baker sell? The word problem can be solved by subtracting 78 from 154.  ,<scratch>To subtract 78 from 154, we can think of it as subtracting the digits in each place value. Subtracting 4 and 7 gives 3. Subtracting 5 and 8 gives 7. After subtracting all digits, we get the difference, which is 76. </scratch>,76
They decided to hold the party in their backyard. They have 4 sets of tables and each set has 3 chairs. If a total of 14 people will attend the party How many more chairs will they have to buy? The word problem can be solved by subtracting 12 from 14.  ,<scratch>To subtract 12 from 14, we can think of it as subtracting the digits in each place value. Subtracting 4 and 2 gives 2. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 02. </scratch>,2
Last week Fred had 19 dollars and Jason had 16 dollars. They washed cars over the weekend and now Fred has 40 dollars and Jason has 69 dollars. How much money did Fred earn over the weekend? The word problem can be solved by subtracting 19 from 40.  ,<scratch>To subtract 19 from 40, we can think of it as subtracting the digits in each place value. Subtracting 0 and 9 gives -9. Subtracting 4 and 1 gives 3. After subtracting all digits, we get the difference, which is 21. </scratch>,21
Paco had 25 cookies. He ate 5 of them. Then he bought 3 more cookies How many more cookies did he eat than those he bought? The word problem can be solved by subtracting 3 from 5.  ,<scratch>To subtract 3 from 5, we can think of it as subtracting the digits in each place value. Subtracting 3 and 0 gives 2. After subtracting all digits, we get the difference, which is 02. </scratch>,2
Jake has 8 fewer peaches and 10 more apples than Steven. Steven has 11 apples and 18 peaches. How many more peaches than apples does Steven have? The word problem can be solved by subtracting 11 from 18.  ,<scratch>To subtract 11 from 18, we can think of it as subtracting the digits in each place value. Subtracting 8 and 1 gives 7. Subtracting 1 and 0 gives 7. After subtracting all digits, we get the difference, which is 07. </scratch>,7
A grocery store had a total of 30 bottles of which 28 were bottles of regular soda and the rest were bottles of diet soda. How many bottles of diet soda did they have? The word problem can be solved by subtracting 28 from 30.  ,<scratch>To subtract 28 from 30, we can think of it as subtracting the digits in each place value. Subtracting 0 and 8 gives 2. Subtracting 3 and 2 gives 1. After subtracting all digits, we get the difference, which is 02. </scratch>,2
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
Allan brought 2 balloons to the park and then bought 3 more balloons there. If Jake brought 6 balloons to the park How many more balloons did Jake have than Allan in the park? The word problem can be solved by subtracting 5 from 6.  ,<scratch>To subtract 5 from 6, we can think of it as subtracting the digits in each place value. Subtracting 6 and 5 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
Every day Ryan spends 2 hours on learning english, 5 hours on learning chinese and 4 hours on learning spanish. How many more hours does he spend on learning chinese than he does on learning spanish? The word problem can be solved by subtracting 4 from 5.  ,<scratch>To subtract 4 from 5, we can think of it as subtracting the digits in each place value. Subtracting 4 and 0 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
2 birds were sitting on the fence. 5 more birds and 4 more storks came to join them. How many more birds than storks are sitting on the fence? The word problem can be solved by subtracting 4 from 7.  ,<scratch>To subtract 4 from 7, we can think of it as subtracting the digits in each place value. Subtracting 4 and 0 gives 3. Subtracting 7 and 4 gives 3. After subtracting all digits, we get the difference, which is 3. </scratch>,3
Paco had 6 cookies. He gave 30 cookies to his friend and ate 23 cookies. How many more cookies did he give to his friend than those he ate? The word problem can be solved by subtracting 23 from 30.  ,<scratch>To subtract 23 from 30, we can think of it as subtracting the digits in each place value. Subtracting 0 and 3 gives 0. Subtracting 2 and 0 gives 2. After subtracting all digits, we get the difference, which is 07. </scratch>,7
Baker made 170 cakes. He sold 78 of them and bought 31 new cakes. How many more cakes did baker sell than those he bought? The word problem can be solved by subtracting 31 from 78.  ,<scratch>To subtract 31 from 78, we can think of it as subtracting the digits in each place value. Subtracting 1 and 8 gives 7. Subtracting 3 and 7 gives 4. After subtracting all digits, we get the difference, which is 47. </scratch>,47
There were 12 roses and 2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 10 roses and 21 orchids in the vase. How many orchids did she cut? The word problem can be solved by subtracting 2 from 21.  ,<scratch>To subtract 2 from 21, we can think of it as subtracting the digits in each place value. Subtracting 1 and 0 gives 1. Subtracting 2 and 2 gives 0. After subtracting all digits, we get the difference, which is 19. </scratch>,19
Mary is baking a cake. The recipe calls for 5 cups of flour and 14 cups of sugar. She already put in 10 cups of flour and 2 cups of sugar. How many more cups of sugar does she need to add? The word problem can be solved by subtracting 2 from 14.  ,<scratch>To subtract 2 from 14, we can think of it as subtracting the digits in each place value. Subtracting 4 and 2 gives 2. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 12. </scratch>,12
Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes. How many more cakes did baker make than those he sold? The word problem can be solved by subtracting 71 from 255.  ,<scratch>To subtract 71 from 255, we can think of it as subtracting the digits in each place value. Subtracting 5 and 1 gives 4. Subtracting 5 and 7 gives 8. Subtracting 2 and 0 gives 2. After subtracting all digits, we get the difference, which is 184. </scratch>,184
Mary is baking a cake. The recipe calls for 12 cups of flour 5 cups of sugar and 49 cups of salt. She already put in 11 cups of flour. How many more cups of flour does she need to add? The word problem can be solved by subtracting 11 from 12.  ,<scratch>To subtract 11 from 12, we can think of it as subtracting the digits in each place value. Subtracting 2 and 1 gives 1. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
